Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,
,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,
,,manslaughter,definition1),definition2),,,,,,theft,,,,
26509,203,5,26,,74,98,1098,251,786,61,12,"Kankakee, IL",41.1200325,-87.8611531
2563,0,0,0,,0,0,12,1,11,0,0,"Kenilworth, IL",42.085862,-87.7175607
12460,38,0,13,,2,23,424,43,371,10,0,"Kewanee, IL",41.2455927,-89.9248303
4066,2,0,1,,1,0,19,3,16,0,0,"Kildeer, IL",42.1705807,-88.0478532
1424,8,0,2,,1,5,17,1,15,1,0,"Kincaid, IL",39.5886601,-89.4145363
1154,0,0,0,,0,0,3,0,3,0,3,"Kingston, IL",42.0997482,-88.7589818
1732,4,0,0,,0,4,21,4,17,0,0,"Kirkland, IL",42.0925258,-88.8512063
1805,0,0,0,,0,0,10,4,6,0,0,"Lacon, IL",41.0247583,-89.4112007
1231,1,0,0,,0,1,5,4,1,0,0,"Ladd, IL",41.3825348,-89.2189748
15754,14,0,1,,5,8,197,40,153,4,0,"La Grange, IL",41.8050314,-87.8692254
13612,3,0,0,,1,2,105,9,91,5,0,"La Grange Park, IL",41.8347535,-87.861726
1190,1,0,0,,0,1,17,5,12,0,0,"La Harpe, IL",40.5833749,-90.9693057
5666,4,0,0,,1,3,56,3,50,3,0,"Lake Bluff, IL",42.2791365,-87.8443151
19410,4,0,0,,0,4,112,14,98,0,0,"Lake Forest, IL",42.2586342,-87.840625
29022,24,0,8,,0,16,146,31,115,0,1,"Lake in the Hills, IL",42.1816908,-88.3303618
6006,2,0,0,,0,2,22,6,16,0,0,"Lakemoor, IL",42.3286331,-88.1989732
8849,11,0,2,,1,8,48,8,39,1,0,"Lake Villa, IL",42.4169651,-88.0739708
20051,11,0,8,,0,3,255,27,227,1,2,"Lake Zurich, IL",42.1969689,-88.0934108
1357,0,0,0,,0,0,7,1,5,1,0,"Lanark, IL",42.1022465,-89.8334527
28347,113,1,10,,70,32,1886,271,1527,88,2,"Lansing, IL",41.5647575,-87.538931
9194,3,0,0,,0,3,187,31,152,4,0,"La Salle, IL",41.3621503,-89.0418249
4428,14,0,0,,0,14,77,29,42,6,3,"Lawrenceville, IL",38.7292137,-87.6816927
4467,9,0,5,,3,1,54,17,34,3,0,"Lebanon, IL",38.6039375,-89.8073195
16927,6,0,3,,1,2,140,19,113,8,0,"Lemont, IL",41.673642,-88.0017261
487,0,0,0,,0,0,4,2,2,0,0,"Lenzburg, IL",38.2872709,-89.8173228
3585,6,0,1,,0,5,29,9,19,1,0,"Le Roy, IL",40.3519795,-88.764237
20454,8,1,1,,3,3,268,23,239,6,0,"Libertyville, IL",42.2830786,-87.9531303
13867,38,0,8,,3,27,325,61,249,15,2,"Lincoln, IL",40.1483768,-89.3648183
7282,2,0,0,,1,1,31,3,26,2,0,"Lincolnshire, IL",42.1900249,-87.9084039
12655,20,0,0,,7,13,454,76,357,21,2,"Lincolnwood, IL",42.0044757,-87.7300594
14408,3,0,2,,1,0,71,8,61,2,1,"Lindenhurst, IL",42.4105765,-88.0261911
23063,9,0,4,,1,4,211,29,173,9,0,"Lisle, IL",41.801141,-88.0747875
6852,5,0,0,,1,4,180,19,159,2,1,"Litchfield, IL",39.1753256,-89.6542579
756,0,0,0,,0,0,17,8,9,0,0,"Loami, IL",39.6756064,-89.846771
25223,22,2,4,,5,11,193,20,171,2,2,"Lockport, IL",41.5894752,-88.057837
43866,50,0,13,,17,20,942,94,830,18,5,"Lombard, IL",41.8800296,-88.0078435
23349,79,1,11,,17,50,454,98,336,20,2,"Loves Park, IL",42.3200189,-89.0581621
1104,0,0,0,,0,0,11,3,7,1,0,"Lovington, IL",39.71559,-88.6325641
10719,13,3,0,,5,5,120,21,86,13,3,"Lyons, IL",41.8133651,-87.8181128
